proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_48_55_732_5219726.alethe;"0,194386";"0,006219";"0,002171";"0,071164";"0,002227";"0,306796";47;47;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_09_32_04_209_9474402.alethe;"0,039714";"0,002924";"0,001939";"0,013906";"0,00047999999999999996";"0,071788";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_49_59_629_4982920.alethe;"0,134735";"0,005398";"0,005309";"0,049782";"0,000486";"0,220431";12;12;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_00_32_10_259_5099720.alethe;"0,258708";"0,108435";"0,011921";"0,100591";"0,000445";"0,5106139999999999";66;64;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_20_01_17_578_5453052.alethe;"0,105795";"0,003352";"0,0020940000000000004";"0,036541000000000004";"0,00354";"0,17577900000000002";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_01_08_46_357_5354826.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_04_30_12_371_5009788.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_00_32_43_003_5106292.alethe;"0,114814";"0,002942";"0,002389";"0,045882";"0,0015400000000000001";"0,18989699999999998";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_23_22_32_196_4983000.alethe;"0,11689100000000001";"0,0041919999999999995";"0,002394";"0,041353";"0,002161";"0,19370800000000002";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_01_33_218_5444434.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_23_56_43_902_5653024.alethe;"1,4932210000000001";"0,340946";"0,025554";"0,479819";"0,006751";"2,529691";393;390;-3;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_27_06_275_5576986.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_09_56_17_444_9792494.alethe;"0,122189";"0,00409";"0,002479";"0,041758";"0,001735";"0,196661";28;28;0;;;;;1;
